title,company,location,link
Cross Border Ecommerce - Business Intelligence (Based in Seoul),Shopee,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=b574f1454ae36aab
[인재풀] 아티스트,Electronic Arts,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=aac8e9355cb855ac
[홈쇼핑모아] 개발팀 / 데이터 엔지니어,버즈니,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=ceb8243bc8ae3c35
Analytics Specialist,MightyHive,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=419692b3ddb34768
[던전앤파이터] 클라이언트 툴 프로그래머,네오플,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=cb286253682cb876
백엔드 엔지니어 (e-커머스),RIDI Corp,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=6e8010e7c1433f55
2020 2nd 넷맨 신입 및 경력사원 공개,넷맨,서울 금천구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=23653a7b50bb938d
혁신성장 클라우드 아카데미 3기 추가과정 교육생,한국클라우드컴퓨팅연구조합,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=e18cb6dfeb545b92
"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터-신입)",한국정보기술단,서울 서초구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=c267f5ca9614c38a
[ 2020 YG ENTERTAINMENT ] 정보관리 경력 (IT시스템 개발) - 상시 채용,YG 엔터테인먼트,서울 합정동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=dab3f72b35f4bc7e
마케팅 데이터 엔지니어 모집,넷마블,서울 구로구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=9ccf3e3afe262bf8
Jr. Backend Developer,Delivery Tech Hero,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=d6c27e2108eafb61
Tech U Associate Professional Services Consultant - 2020 Korea,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=881a1aa0f0646335
Data Analyst,하이퍼커넥트,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&vjk=2150a287fa8c4d51
